A,Fission Yield,Z,E,N
66,1.3600027e-09,95,5.537640025300001,146
67,2.5200054e-09,95,5.537640025300001,146
68,5.8100122e-09,95,5.537640025300001,146
69,1.2600028e-08,95,5.537640025300001,146
70,4.5500107e-08,95,5.537640025300001,146
71,6.7800143e-08,95,5.537640025300001,146
72,9.9300213e-08,95,5.537640025300001,146
73,3.9800083e-07,95,5.537640025300001,146
74,8.9400192e-07,95,5.537640025300001,146
75,2.480005e-06,95,5.537640025300001,146
76,5.1700111e-06,95,5.537640025300001,146
77,3.3830071e-05,95,5.537640025300001,146
78,7.1480161e-05,95,5.537640025300001,146
79,0.00011939026,95,5.537640025300001,146
80,0.00021847048,95,5.537640025300001,146
81,0.00043684092,95,5.537640025300001,146
82,0.00064077143,95,5.537640025300001,146
83,0.0017726539,95,5.537640025300001,146
84,0.0027778662,95,5.537640025300001,146
85,0.003180237,95,5.537640025300001,146
86,0.0044359699,95,5.537640025300001,146
87,0.0069790854,95,5.537640025300001,146
88,0.0076887864,95,5.537640025300001,146
89,0.0098830616,95,5.537640025300001,146
90,0.0136657,95,5.537640025300001,146
91,0.018479503,95,5.537640025300001,146
92,0.02010445,95,5.537640025300001,146
93,0.026871489,95,5.537640025300001,146
94,0.031926972,95,5.537640025300001,146
95,0.039775538,95,5.537640025300001,146
96,0.042609708,95,5.537640025300001,146
97,0.052674091,95,5.537640025300001,146
98,0.058759827,95,5.537640025300001,146
99,0.066244048,95,5.537640025300001,146
100,0.062547132,95,5.537640025300001,146
101,0.05998315,95,5.537640025300001,146
102,0.061778612,95,5.537640025300001,146
103,0.062294794,95,5.537640025300001,146
104,0.062191203,95,5.537640025300001,146
105,0.066444311,95,5.537640025300001,146
106,0.059584606,95,5.537640025300001,146
107,0.052709457,95,5.537640025300001,146
108,0.042547473,95,5.537640025300001,146
109,0.024945905,95,5.537640025300001,146
110,0.014924883,95,5.537640025300001,146
111,0.0095113804,95,5.537640025300001,146
112,0.0055985823,95,5.537640025300001,146
113,0.0019658037,95,5.537640025300001,146
114,0.0014891932,95,5.537640025300001,146
115,0.00051124114,95,5.537640025300001,146
116,0.00039796082,95,5.537640025300001,146
117,0.00031885074,95,5.537640025300001,146
118,0.00036024084,95,5.537640025300001,146
119,0.00027857058,95,5.537640025300001,146
120,0.00025867058,95,5.537640025300001,146
121,0.00026180055,95,5.537640025300001,146
122,0.00029351067,95,5.537640025300001,146
123,0.00039794099,95,5.537640025300001,146
124,0.0005037711,95,5.537640025300001,146
125,0.0008163719,95,5.537640025300001,146
126,0.0017010034,95,5.537640025300001,146
127,0.0058565021,95,5.537640025300001,146
128,0.0093012002,95,5.537640025300001,146
129,0.01361737,95,5.537640025300001,146
130,0.022339889,95,5.537640025300001,146
131,0.035633224,95,5.537640025300001,146
132,0.047751183,95,5.537640025300001,146
133,0.05507642,95,5.537640025300001,146
134,0.072395178,95,5.537640025300001,146
135,0.070126031,95,5.537640025300001,146
136,0.079301746,95,5.537640025300001,146
137,0.064159955,95,5.537640025300001,146
138,0.069344638,95,5.537640025300001,146
139,0.066680915,95,5.537640025300001,146
140,0.059364516,95,5.537640025300001,146
141,0.047919801,95,5.537640025300001,146
142,0.047205924,95,5.537640025300001,146
143,0.036710764,95,5.537640025300001,146
144,0.034884134,95,5.537640025300001,146
145,0.033131399,95,5.537640025300001,146
146,0.026454697,95,5.537640025300001,146
147,0.020323865,95,5.537640025300001,146
148,0.01829193,95,5.537640025300001,146
149,0.014325212,95,5.537640025300001,146
150,0.011488015,95,5.537640025300001,146
151,0.0083947682,95,5.537640025300001,146
152,0.007225776,95,5.537640025300001,146
153,0.0060238932,95,5.537640025300001,146
154,0.0037702579,95,5.537640025300001,146
155,0.0030772168,95,5.537640025300001,146
156,0.0019114345,95,5.537640025300001,146
157,0.0016426236,95,5.537640025300001,146
158,0.00085871191,95,5.537640025300001,146
159,0.00073005159,95,5.537640025300001,146
160,0.00034595071,95,5.537640025300001,146
161,0.00022102048,95,5.537640025300001,146
162,0.00010472022,95,5.537640025300001,146
163,2.8270057e-05,95,5.537640025300001,146
164,3.2500067e-06,95,5.537640025300001,146
165,1.0000021e-06,95,5.537640025300001,146
166,6.8100147e-07,95,5.537640025300001,146
167,3.0400069e-07,95,5.537640025300001,146
168,1.3600029e-07,95,5.537640025300001,146
169,5.8600122e-08,95,5.537640025300001,146
170,1.6800037e-08,95,5.537640025300001,146
171,3.2500076e-09,95,5.537640025300001,146
172,1.0500022e-09,95,5.537640025300001,146
