A,Fission Yield,Z,E,N
66,3.4155068e-06,95,19.53764,146
67,7.3171106e-06,95,19.53764,146
68,1.0927274e-05,95,19.53764,146
69,1.8451169e-05,95,19.53764,146
70,3.1869694e-05,95,19.53764,146
71,4.8767643e-05,95,19.53764,146
72,8.7785025e-05,95,19.53764,146
73,0.0001317816,95,19.53764,146
74,0.00021459373,95,19.53764,146
75,0.00027311948,95,19.53764,146
76,0.0003910662,95,19.53764,146
77,0.0005849509,95,19.53764,146
78,0.00077997419,95,19.53764,146
79,0.001072017,95,19.53764,146
80,0.0018158186,95,19.53764,146
81,0.0024334342,95,19.53764,146
82,0.0035678428,95,19.53764,146
83,0.0046749138,95,19.53764,146
84,0.0056185982,95,19.53764,146
85,0.0082244643,95,19.53764,146
86,0.0093683641,95,19.53764,146
87,0.010732022,95,19.53764,146
88,0.012113868,95,19.53764,146
89,0.015632753,95,19.53764,146
90,0.017766658,95,19.53764,146
91,0.02062885,95,19.53764,146
92,0.022226431,95,19.53764,146
93,0.024138005,95,19.53764,146
94,0.026440506,95,19.53764,146
95,0.031555386,95,19.53764,146
96,0.033101101,95,19.53764,146
97,0.035712607,95,19.53764,146
98,0.039573629,95,19.53764,146
99,0.043780836,95,19.53764,146
100,0.04583811,95,19.53764,146
101,0.04817613,95,19.53764,146
102,0.04925448,95,19.53764,146
103,0.050729203,95,19.53764,146
104,0.047565298,95,19.53764,146
105,0.047679101,95,19.53764,146
106,0.04153498,95,19.53764,146
107,0.038110901,95,19.53764,146
108,0.035385557,95,19.53764,146
109,0.032447084,95,19.53764,146
110,0.0289872,95,19.53764,146
111,0.023487746,95,19.53764,146
112,0.023055818,95,19.53764,146
113,0.023092483,95,19.53764,146
114,0.0172367,95,19.53764,146
115,0.016044021,95,19.53764,146
116,0.014753972,95,19.53764,146
117,0.013710934,95,19.53764,146
118,0.014573566,95,19.53764,146
119,0.014090326,95,19.53764,146
120,0.015510856,95,19.53764,146
121,0.016126786,95,19.53764,146
122,0.018004422,95,19.53764,146
123,0.018916443,95,19.53764,146
124,0.023124396,95,19.53764,146
125,0.023593449,95,19.53764,146
126,0.036024539,95,19.53764,146
127,0.023388688,95,19.53764,146
128,0.029285354,95,19.53764,146
129,0.031475026,95,19.53764,146
130,0.046281681,95,19.53764,146
131,0.045042845,95,19.53764,146
132,0.037686857,95,19.53764,146
133,0.046640255,95,19.53764,146
134,0.053178521,95,19.53764,146
135,0.047751545,95,19.53764,146
137,0.044540334,95,19.53764,146
138,0.044429589,95,19.53764,146
139,0.041126509,95,19.53764,146
140,0.0355755,95,19.53764,146
141,0.032667149,95,19.53764,146
142,0.030586379,95,19.53764,146
143,0.02724797,95,19.53764,146
144,0.025437485,95,19.53764,146
145,0.022663963,95,19.53764,146
146,0.020414379,95,19.53764,146
147,0.018287711,95,19.53764,146
148,0.016020838,95,19.53764,146
149,0.013153132,95,19.53764,146
150,0.012445618,95,19.53764,146
151,0.0090125412,95,19.53764,146
152,0.0082070414,95,19.53764,146
153,0.0066470097,95,19.53764,146
154,0.0053386634,95,19.53764,146
155,0.0034410606,95,19.53764,146
156,0.0027573428,95,19.53764,146
157,0.0018056685,95,19.53764,146
158,0.0015510304,95,19.53764,146
159,0.0013405082,95,19.53764,146
160,0.00088271574,95,19.53764,146
161,0.00061161054,95,19.53764,146
162,0.0003489513,95,19.53764,146
163,0.00024637119,95,19.53764,146
164,0.00017574952,95,19.53764,146
165,0.00010262688,95,19.53764,146
166,7.1836581e-05,95,19.53764,146
167,4.106093e-05,95,19.53764,146
168,2.7144124e-05,95,19.53764,146
169,1.9504212e-05,95,19.53764,146
170,1.1747729e-05,95,19.53764,146
171,7.8010128e-06,95,19.53764,146
172,5.1319498e-06,95,19.53764,146
