A,Fission Yield,Z,E,N
66,9.3523615e-07,98,6.1720000253,153
67,1.4003535e-06,98,6.1720000253,153
68,1.8704722e-06,98,6.1720000253,153
69,2.8107097e-06,98,6.1720000253,153
70,3.7409444e-06,98,6.1720000253,153
71,4.6811815e-06,98,6.1720000253,153
72,6.5516543e-06,98,6.1720000253,153
73,9.5424086e-06,98,6.1720000253,153
74,1.2163071e-05,98,6.1720000253,153
75,1.7774487e-05,98,6.1720000253,153
76,2.340591e-05,98,6.1720000253,153
77,3.340843e-05,98,6.1720000253,153
78,4.6771808e-05,98,6.1720000253,153
79,5.8074667e-05,98,6.1720000253,153
80,8.4221259e-05,98,6.1720000253,153
81,0.00011225833,98,6.1720000253,153
82,0.00015554926,98,6.1720000253,153
83,0.00021952544,98,6.1720000253,153
84,0.00028491193,98,6.1720000253,153
85,0.00042979847,98,6.1720000253,153
86,0.00056579281,98,6.1720000253,153
87,0.00075304013,98,6.1720000253,153
88,0.0010407727,98,6.1720000253,153
89,0.0015123618,98,6.1720000253,153
90,0.002962618,98,6.1720000253,153
91,0.0052007733,98,6.1720000253,153
92,0.0058117078,98,6.1720000253,153
93,0.0070186618,98,6.1720000253,153
94,0.0075000042,98,6.1720000253,153
95,0.0097920708,98,6.1720000253,153
96,0.014332277,98,6.1720000253,153
97,0.016501625,98,6.1720000253,153
98,0.022036734,98,6.1720000253,153
99,0.03289093,98,6.1720000253,153
100,0.0338748,98,6.1720000253,153
101,0.038713387,98,6.1720000253,153
102,0.042587072,98,6.1720000253,153
103,0.043556131,98,6.1720000253,153
104,0.04554311,98,6.1720000253,153
105,0.048447231,98,6.1720000253,153
106,0.049359586,98,6.1720000253,153
107,0.052263083,98,6.1720000253,153
108,0.05323965,98,6.1720000253,153
109,0.052263883,98,6.1720000253,153
110,0.052264459,98,6.1720000253,153
111,0.050192538,98,6.1720000253,153
112,0.053353564,98,6.1720000253,153
113,0.044579147,98,6.1720000253,153
114,0.045101165,98,6.1720000253,153
115,0.04560341,98,6.1720000253,153
116,0.036286392,98,6.1720000253,153
117,0.029035049,98,6.1720000253,153
118,0.019088138,98,6.1720000253,153
119,0.012407292,98,6.1720000253,153
120,0.0076352576,98,6.1720000253,153
121,0.0049734952,98,6.1720000253,153
122,0.0028062584,98,6.1720000253,153
123,0.0019643762,98,6.1720000253,153
124,0.0018746733,98,6.1720000253,153
125,0.0038106312,98,6.1720000253,153
126,0.0050684696,98,6.1720000253,153
127,0.0060878467,98,6.1720000253,153
128,0.0070959712,98,6.1720000253,153
129,0.009297847,98,6.1720000253,153
130,0.012167391,98,6.1720000253,153
131,0.018417729,98,6.1720000253,153
132,0.032182781,98,6.1720000253,153
133,0.039129611,98,6.1720000253,153
134,0.048554381,98,6.1720000253,153
135,0.044335477,98,6.1720000253,153
136,0.05667246,98,6.1720000253,153
137,0.057091613,98,6.1720000253,153
138,0.057786414,98,6.1720000253,153
139,0.056571018,98,6.1720000253,153
140,0.045104122,98,6.1720000253,153
141,0.049198585,98,6.1720000253,153
142,0.054659844,98,6.1720000253,153
143,0.050818077,98,6.1720000253,153
144,0.050521581,98,6.1720000253,153
145,0.049482836,98,6.1720000253,153
146,0.042410686,98,6.1720000253,153
147,0.035143946,98,6.1720000253,153
148,0.033461135,98,6.1720000253,153
149,0.030209499,98,6.1720000253,153
150,0.02425355,98,6.1720000253,153
151,0.020195613,98,6.1720000253,153
152,0.015205828,98,6.1720000253,153
153,0.012164411,98,6.1720000253,153
154,0.0091239331,98,6.1720000253,153
155,0.0071352105,98,6.1720000253,153
156,0.0056655395,98,6.1720000253,153
157,0.0040772198,98,6.1720000253,153
158,0.0030579014,98,6.1720000253,153
159,0.002038615,98,6.1720000253,153
160,0.0015294561,98,6.1720000253,153
161,0.0010192973,98,6.1720000253,153
162,0.00081543592,98,6.1720000253,153
163,0.00061157441,98,6.1720000253,153
164,0.00040772295,98,6.1720000253,153
165,0.00030410677,98,6.1720000253,153
166,0.00020386145,98,6.1720000253,153
167,0.0001528886,98,6.1720000253,153
168,0.00010192572,98,6.1720000253,153
169,8.1540578e-05,98,6.1720000253,153
170,6.1165443e-05,98,6.1720000253,153
171,4.0770299e-05,98,6.1720000253,153
172,3.0577718e-05,98,6.1720000253,153
