A,Fission Yield,Z,E,N
66,7.2999997e-08,96,6.0186,148
67,1.3000001e-07,96,6.0186,148
68,2.4999996e-07,96,6.0186,148
69,4.8000001e-07,96,6.0186,148
70,9.6100005e-07,96,6.0186,148
71,1.9000003e-06,96,6.0186,148
72,3.7999996e-06,96,6.0186,148
73,7.3000002e-06,96,6.0186,148
74,1.401e-05,96,6.0186,148
75,2.6010001e-05,96,6.0186,148
76,4.8180001e-05,96,6.0186,148
77,8.5030005e-05,96,6.0186,148
78,0.00015008001,96,6.0186,148
79,0.00025012992,96,6.0186,148
80,0.00041034994,96,6.0186,148
81,0.00066034001,96,6.0186,148
82,0.0010131801,96,6.0186,148
83,0.0016005401,96,6.0186,148
84,0.0023120902,96,6.0186,148
85,0.0033018102,96,6.0186,148
86,0.00464337,96,6.0186,148
87,0.0063417795,96,6.0186,148
88,0.0084416503,96,6.0186,148
89,0.011031672,96,6.0186,148
90,0.014010071,96,6.0186,148
91,0.0170075,96,6.0186,148
92,0.020069852,96,6.0186,148
93,0.024179536,96,6.0186,148
94,0.028040114,96,6.0186,148
95,0.030165007,96,6.0186,148
96,0.036094714,96,6.0186,148
97,0.041020785,96,6.0186,148
98,0.046056461,96,6.0186,148
99,0.051018163,96,6.0186,148
100,0.057021856,96,6.0186,148
101,0.06201489,96,6.0186,148
102,0.065017717,96,6.0186,148
103,0.067018179,96,6.0186,148
104,0.067034179,96,6.0186,148
105,0.064011851,96,6.0186,148
106,0.059014173,96,6.0186,148
107,0.052012492,96,6.0186,148
108,0.04301148,96,6.0186,148
109,0.034012318,96,6.0186,148
110,0.026025589,96,6.0186,148
111,0.019004559,96,6.0186,148
112,0.013004421,96,6.0186,148
113,0.0085028905,96,6.0186,148
114,0.0054025902,96,6.0186,148
115,0.0034011506,96,6.0186,148
116,0.0021007105,96,6.0186,148
117,0.00140048,96,6.0186,148
118,0.00095032006,96,6.0186,148
119,0.00074025009,96,6.0186,148
120,0.00065022006,96,6.0186,148
121,0.00064031005,96,6.0186,148
122,0.00070339012,96,6.0186,148
123,0.00086214019,96,6.0186,148
124,0.00119452,96,6.0186,148
125,0.0017942502,96,6.0186,148
126,0.0028738598,96,6.0186,148
127,0.00466997,96,6.0186,148
128,0.0074530206,96,6.0186,148
129,0.010929922,96,6.0186,148
130,0.016927002,96,6.0186,148
131,0.023891622,96,6.0186,148
132,0.03185548,96,6.0186,148
133,0.039819431,96,6.0186,148
134,0.048814667,96,6.0186,148
135,0.056752322,96,6.0186,148
136,0.065984126,96,6.0186,148
137,0.0668747,96,6.0186,148
138,0.067724425,96,6.0186,148
139,0.06570461,96,6.0186,148
140,0.062720758,96,6.0186,148
141,0.059255973,96,6.0186,148
142,0.052780352,96,6.0186,148
143,0.047788414,96,6.0186,148
144,0.040239107,96,6.0186,148
145,0.037828489,96,6.0186,148
146,0.032850964,96,6.0186,148
147,0.028814771,96,6.0186,148
148,0.024841029,96,6.0186,148
149,0.020905179,96,6.0186,148
150,0.018036316,96,6.0186,148
151,0.01490419,96,6.0186,148
152,0.01192334,96,6.0186,148
153,0.0090418803,96,6.0186,148
154,0.0068642704,96,6.0186,148
155,0.0052684198,96,6.0186,148
156,0.0036665794,96,6.0186,148
157,0.0025765203,96,6.0186,148
158,0.0017837799,96,6.0186,148
159,0.00118916,96,6.0186,148
160,0.00074869994,96,6.0186,148
161,0.00046574998,96,6.0186,148
162,0.00028737996,96,6.0186,148
163,0.00016847001,96,6.0186,148
164,9.9130006e-05,96,6.0186,148
165,5.664e-05,96,6.0186,148
166,3.072001e-05,96,6.0186,148
167,1.6850001e-05,96,6.0186,148
168,8.8200002e-06,96,6.0186,148
169,4.5599998e-06,96,6.0186,148
170,2.2900003e-06,96,6.0186,148
171,1.1900001e-06,96,6.0186,148
172,5.8500001e-07,96,6.0186,148
