A,Fission Yield,Z,E,N
66,1.0389332e-08,96,6.4589000253,149
67,2.0878565e-08,96,6.4589000253,149
68,4.175713e-08,96,6.4589000253,149
69,1.0389332e-07,96,6.4589000253,149
70,2.6073237e-07,96,6.4589000253,149
71,5.7441017e-07,96,6.4589000253,149
72,1.0389332e-06,96,6.4589000253,149
73,2.0878556e-06,96,6.4589000253,149
74,4.5952818e-06,96,6.4589000253,149
75,7.722072e-06,96,6.4589000253,149
76,2.0888551e-05,96,6.4589000253,149
77,5.1527093e-05,96,6.4589000253,149
78,0.00010437284,96,6.4589000253,149
79,0.00020427026,96,6.4589000253,149
80,0.00036544475,96,6.4589000253,149
81,0.00062627691,96,6.4589000253,149
82,0.0010473645,96,6.4589000253,149
83,0.0019078612,96,6.4589000253,149
84,0.0026947631,96,6.4589000253,149
85,0.0029387924,96,6.4589000253,149
86,0.0047390135,96,6.4589000253,149
87,0.0050768365,96,6.4589000253,149
88,0.0061425521,96,6.4589000253,149
89,0.0085632267,96,6.4589000253,149
90,0.010790791,96,6.4589000253,149
91,0.0087930118,96,6.4589000253,149
92,0.012888217,96,6.4589000253,149
93,0.018147715,96,6.4589000253,149
94,0.016376953,96,6.4589000253,149
95,0.023487939,96,6.4589000253,149
96,0.028216824,96,6.4589000253,149
97,0.028934584,96,6.4589000253,149
98,0.036762,96,6.4589000253,149
99,0.041653076,96,6.4589000253,149
100,0.04933085,96,6.4589000253,149
101,0.057557301,96,6.4589000253,149
102,0.059507354,96,6.4589000253,149
103,0.063217576,96,6.4589000253,149
104,0.067474863,96,6.4589000253,149
105,0.063962483,96,6.4589000253,149
106,0.057370087,96,6.4589000253,149
107,0.055736217,96,6.4589000253,149
108,0.057378243,96,6.4589000253,149
109,0.046539431,96,6.4589000253,149
110,0.047186602,96,6.4589000253,149
111,0.040062231,96,6.4589000253,149
112,0.030032134,96,6.4589000253,149
113,0.020372422,96,6.4589000253,149
114,0.01092665,96,6.4589000253,149
115,0.0055896819,96,6.4589000253,149
116,0.0021642383,96,6.4589000253,149
117,0.0014298619,96,6.4589000253,149
118,0.00084508222,96,6.4589000253,149
119,0.00052560035,96,6.4589000253,149
120,0.00037100897,96,6.4589000253,149
121,0.0003110107,96,6.4589000253,149
122,0.00053256314,96,6.4589000253,149
123,0.00063239068,96,6.4589000253,149
124,0.00070941161,96,6.4589000253,149
125,0.00093407093,96,6.4589000253,149
126,0.001618248,96,6.4589000253,149
127,0.0048584518,96,6.4589000253,149
128,0.0065101552,96,6.4589000253,149
129,0.012692807,96,6.4589000253,149
130,0.018484258,96,6.4589000253,149
131,0.029126166,96,6.4589000253,149
132,0.041803195,96,6.4589000253,149
133,0.054622582,96,6.4589000253,149
134,0.070934287,96,6.4589000253,149
135,0.067934041,96,6.4589000253,149
137,0.062134344,96,6.4589000253,149
138,0.061674676,96,6.4589000253,149
139,0.058373023,96,6.4589000253,149
140,0.055111628,96,6.4589000253,149
141,0.051544591,96,6.4589000253,149
142,0.047263765,96,6.4589000253,149
143,0.044127254,96,6.4589000253,149
144,0.042944833,96,6.4589000253,149
145,0.030329591,96,6.4589000253,149
146,0.027515097,96,6.4589000253,149
147,0.024355923,96,6.4589000253,149
148,0.023136741,96,6.4589000253,149
149,0.019483421,96,6.4589000253,149
150,0.018162932,96,6.4589000253,149
151,0.013471397,96,6.4589000253,149
152,0.012215038,96,6.4589000253,149
153,0.012938824,96,6.4589000253,149
154,0.0089159945,96,6.4589000253,149
155,0.0069560078,96,6.4589000253,149
156,0.0043244187,96,6.4589000253,149
157,0.0044753345,96,6.4589000253,149
158,0.0032805613,96,6.4589000253,149
159,0.0022882905,96,6.4589000253,149
160,0.0017934385,96,6.4589000253,149
161,0.0011947732,96,6.4589000253,149
162,0.00079584283,96,6.4589000253,149
163,0.00054675855,96,6.4589000253,149
164,0.00024908423,96,6.4589000253,149
165,0.00010892816,96,6.4589000253,149
166,4.4554253e-05,96,6.4589000253,149
167,2.2277131e-05,96,6.4589000253,149
168,1.3166482e-05,96,6.4589000253,149
169,5.9738665e-06,96,6.4589000253,149
170,2.9369838e-06,96,6.4589000253,149
171,1.7182362e-06,96,6.4589000253,149
172,8.0017838e-07,96,6.4589000253,149
