A,Fission Yield,E,Z,N
66,2.08e-08,5.21337,96,152
67,3.6600003e-08,5.21337,96,152
68,6.8300002e-08,5.21337,96,152
69,1.2900001e-07,5.21337,96,152
70,2.5800002e-07,5.21337,96,152
71,5.2500009e-07,5.21337,96,152
72,1.0900001e-06,5.21337,96,152
73,2.0800006e-06,5.21337,96,152
74,3.9600002e-06,5.21337,96,152
75,7.6200012e-06,5.21337,96,152
76,1.3860002e-05,5.21337,96,152
77,2.5810005e-05,5.21337,96,152
78,4.6520003e-05,5.21337,96,152
79,8.0200013e-05,5.21337,96,152
80,0.00013878001,5.21337,96,152
81,0.00022777005,5.21337,96,152
82,0.00036653005,5.21337,96,152
83,0.00057603003,5.21337,96,152
84,0.00092479006,5.21337,96,152
85,0.0012940401,5.21337,96,152
86,0.0019004106,5.21337,96,152
87,0.0028108104,5.21337,96,152
88,0.0038574,5.21337,96,152
89,0.0052687797,5.21337,96,152
90,0.0067751309,5.21337,96,152
91,0.0087613299,5.21337,96,152
92,0.010964031,5.21337,96,152
93,0.014413561,5.21337,96,152
94,0.017179951,5.21337,96,152
95,0.020524098,5.21337,96,152
96,0.022961727,5.21337,96,152
97,0.026894267,5.21337,96,152
98,0.030947677,5.21337,96,152
99,0.035946003,5.21337,96,152
100,0.040850706,5.21337,96,152
101,0.046757932,5.21337,96,152
102,0.053726962,5.21337,96,152
103,0.059704774,5.21337,96,152
104,0.06499668,5.21337,96,152
105,0.068797086,5.21337,96,152
106,0.069639482,5.21337,96,152
107,0.067649787,5.21337,96,152
108,0.063696204,5.21337,96,152
109,0.057867755,5.21337,96,152
110,0.049742498,5.21337,96,152
111,0.040788844,5.21337,96,152
112,0.031835197,5.21337,96,152
113,0.023876388,5.21337,96,152
114,0.016876182,5.21337,96,152
115,0.010943341,5.21337,96,152
116,0.0073461008,5.21337,96,152
117,0.0045763105,5.21337,96,152
118,0.0027796103,5.21337,96,152
119,0.0016876202,5.21337,96,152
120,0.0010919901,5.21337,96,152
121,0.00072473002,5.21337,96,152
122,0.00057405012,5.21337,96,152
123,0.00055423002,5.21337,96,152
124,0.00066334012,5.21337,96,152
125,0.00087341013,5.21337,96,152
126,0.0014817502,5.21337,96,152
127,0.0023788802,5.21337,96,152
128,0.0039507701,5.21337,96,152
129,0.00634411,5.21337,96,152
130,0.0099132113,5.21337,96,152
131,0.014869002,5.21337,96,152
132,0.020815712,5.21337,96,152
133,0.028828217,5.21337,96,152
134,0.037983078,5.21337,96,152
135,0.046966074,5.21337,96,152
136,0.057561343,5.21337,96,152
137,0.063636444,5.21337,96,152
138,0.067461413,5.21337,96,152
139,0.06973103,5.21337,96,152
140,0.068643628,5.21337,96,152
141,0.066174298,5.21337,96,152
142,0.060943663,5.21337,96,152
143,0.055870224,5.21337,96,152
144,0.050543908,5.21337,96,152
145,0.042751626,5.21337,96,152
146,0.037764207,5.21337,96,152
147,0.032795229,5.21337,96,152
148,0.027854291,5.21337,96,152
149,0.023790987,5.21337,96,152
150,0.020816765,5.21337,96,152
151,0.016850821,5.21337,96,152
152,0.013877142,5.21337,96,152
153,0.011894691,5.21337,96,152
154,0.0094166507,5.21337,96,152
155,0.0073789607,5.21337,96,152
156,0.0056292604,5.21337,96,152
157,0.0041478807,5.21337,96,152
158,0.0030615306,5.21337,96,152
159,0.0021727005,5.21337,96,152
160,0.0014814201,5.21337,96,152
161,0.00098759007,5.21337,96,152
162,0.00065181015,5.21337,96,152
163,0.00041479002,5.21337,96,152
164,0.00025676998,5.21337,96,152
165,0.00015860001,5.21337,96,152
166,9.4810003e-05,5.21337,96,152
167,5.4320002e-05,5.21337,96,152
168,3.0619998e-05,5.21337,96,152
169,1.6790001e-05,5.21337,96,152
170,9.1800005e-06,5.21337,96,152
171,4.8399971e-06,5.21337,96,152
172,2.4699999e-06,5.21337,96,152
