A,Fission Yield,Z,E,N
66,9.3900058e-11,99,5.9760000253,155
67,1.8800004e-10,99,5.9760000253,155
68,3.7500018e-10,99,5.9760000253,155
69,7.5100064e-10,99,5.9760000253,155
70,1.4100002e-09,99,5.9760000253,155
71,2.3499995e-09,99,5.9760000253,155
72,1.4499992e-09,99,5.9760000253,155
73,9.6899987e-09,99,5.9760000253,155
74,1.8799992e-08,99,5.9760000253,155
75,3.2899994e-08,99,5.9760000253,155
76,6.579999e-08,99,5.9760000253,155
77,1.3599998e-07,99,5.9760000253,155
78,2.4199989e-07,99,5.9760000253,155
79,4.8499998e-07,99,5.9760000253,155
80,9.3899989e-07,99,5.9760000253,155
81,2.3499992e-06,99,5.9760000253,155
82,4.2399994e-06,99,5.9760000253,155
83,8.7199984e-06,99,5.9760000253,155
84,1.7259998e-05,99,5.9760000253,155
85,3.3519993e-05,99,5.9760000253,155
86,7.1239986e-05,99,5.9760000253,155
87,0.00014229997,99,5.9760000253,155
88,0.0002859299,99,5.9760000253,155
89,0.00051893994,99,5.9760000253,155
90,0.0011301198,99,5.9760000253,155
91,0.0027574093,99,5.9760000253,155
92,0.003576189,99,5.9760000253,155
93,0.0047086886,99,5.9760000253,155
94,0.0056522694,99,5.9760000253,155
95,0.0070895991,99,5.9760000253,155
96,0.0075174396,99,5.9760000253,155
97,0.0097555383,99,5.9760000253,155
98,0.013438558,99,5.9760000253,155
99,0.022977045,99,5.9760000253,155
100,0.024232814,99,5.9760000253,155
101,0.024871477,99,5.9760000253,155
102,0.027142421,99,5.9760000253,155
103,0.031282641,99,5.9760000253,155
104,0.033985371,99,5.9760000253,155
105,0.042488555,99,5.9760000253,155
106,0.040238529,99,5.9760000253,155
107,0.038772337,99,5.9760000253,155
108,0.036840603,99,5.9760000253,155
109,0.037215942,99,5.9760000253,155
110,0.038772945,99,5.9760000253,155
111,0.041925409,99,5.9760000253,155
112,0.043423474,99,5.9760000253,155
113,0.038908099,99,5.9760000253,155
114,0.04943476,99,5.9760000253,155
115,0.055726655,99,5.9760000253,155
116,0.05480333,99,5.9760000253,155
117,0.050871463,99,5.9760000253,155
118,0.044588168,99,5.9760000253,155
119,0.039131906,99,5.9760000253,155
120,0.033925788,99,5.9760000253,155
121,0.026957969,99,5.9760000253,155
122,0.022958299,99,5.9760000253,155
123,0.019386167,99,5.9760000253,155
124,0.013392607,99,5.9760000253,155
125,0.0090332589,99,5.9760000253,155
126,0.0084512283,99,5.9760000253,155
127,0.0094483085,99,5.9760000253,155
128,0.012860958,99,5.9760000253,155
129,0.019602585,99,5.9760000253,155
130,0.024617019,99,5.9760000253,155
131,0.037941792,99,5.9760000253,155
132,0.047989047,99,5.9760000253,155
133,0.050582904,99,5.9760000253,155
134,0.053546475,99,5.9760000253,155
135,0.054762943,99,5.9760000253,155
136,0.051351945,99,5.9760000253,155
137,0.046995375,99,5.9760000253,155
138,0.04474046,99,5.9760000253,155
139,0.0415715,99,5.9760000253,155
140,0.039957527,99,5.9760000253,155
141,0.045837801,99,5.9760000253,155
142,0.045925509,99,5.9760000253,155
143,0.048273911,99,5.9760000253,155
144,0.038895845,99,5.9760000253,155
145,0.035610589,99,5.9760000253,155
146,0.032640995,99,5.9760000253,155
147,0.029673635,99,5.9760000253,155
148,0.026589999,99,5.9760000253,155
149,0.022646413,99,5.9760000253,155
150,0.019799979,99,5.9760000253,155
151,0.017002399,99,5.9760000253,155
152,0.016246147,99,5.9760000253,155
153,0.015919757,99,5.9760000253,155
154,0.012800848,99,5.9760000253,155
155,0.0098461484,99,5.9760000253,155
156,0.0079626288,99,5.9760000253,155
157,0.0075430886,99,5.9760000253,155
158,0.0068476996,99,5.9760000253,155
159,0.0048912089,99,5.9760000253,155
160,0.003915009,99,5.9760000253,155
161,0.00293473,99,5.9760000253,155
162,0.0019564896,99,5.9760000253,155
163,0.00097823974,99,5.9760000253,155
164,0.00047933988,99,5.9760000253,155
165,0.00019691997,99,5.9760000253,155
166,8.8039982e-05,99,5.9760000253,155
167,3.9129989e-05,99,5.9760000253,155
168,1.9559996e-05,99,5.9760000253,155
169,9.7799979e-06,99,5.9760000253,155
170,4.8899987e-06,99,5.9760000253,155
171,1.9599996e-06,99,5.9760000253,155
172,9.7799992e-07,99,5.9760000253,155
