A,Fission Yield,Z,E,N
66,1.5800033e-06,100,6.3870000253,155
67,2.0500039e-06,100,6.3870000253,155
68,2.5200052e-06,100,6.3870000253,155
69,3.2600072e-06,100,6.3870000253,155
70,4.3800098e-06,100,6.3870000253,155
71,5.7800122e-06,100,6.3870000253,155
72,7.460015e-06,100,6.3870000253,155
73,9.5200192e-06,100,6.3870000253,155
74,1.3050027e-05,100,6.3870000253,155
75,1.5850032e-05,100,6.3870000253,155
76,2.1490048e-05,100,6.3870000253,155
77,2.7960061e-05,100,6.3870000253,155
78,3.7290072e-05,100,6.3870000253,155
79,4.6610098e-05,100,6.3870000253,155
80,6.3400132e-05,100,6.3870000253,155
81,8.0170165e-05,100,6.3870000253,155
82,0.00010364021,100,6.3870000253,155
83,0.00013328027,100,6.3870000253,155
84,0.00016826034,100,6.3870000253,155
85,0.00023803051,100,6.3870000253,155
86,0.00030049064,100,6.3870000253,155
87,0.0004007908,100,6.3870000253,155
88,0.00051433103,100,6.3870000253,155
89,0.00065332137,100,6.3870000253,155
90,0.0008569518,100,6.3870000253,155
91,0.0011186323,100,6.3870000253,155
92,0.0013996228,100,6.3870000253,155
93,0.0019058839,100,6.3870000253,155
94,0.0023315243,100,6.3870000253,155
95,0.0030764362,100,6.3870000253,155
96,0.0041050783,100,6.3870000253,155
97,0.0068718634,100,6.3870000253,155
98,0.006994834,100,6.3870000253,155
99,0.0085690974,100,6.3870000253,155
100,0.0095205307,100,6.3870000253,155
101,0.011424344,100,6.3870000253,155
102,0.012376606,100,6.3870000253,155
103,0.013328687,100,6.3870000253,155
104,0.015236962,100,6.3870000253,155
105,0.02388847,100,6.3870000253,155
106,0.024151968,100,6.3870000253,155
107,0.026084138,100,6.3870000253,155
108,0.027052873,100,6.3870000253,155
109,0.028986533,100,6.3870000253,155
110,0.032847226,100,6.3870000253,155
111,0.031880593,100,6.3870000253,155
112,0.036253571,100,6.3870000253,155
113,0.04253724,100,6.3870000253,155
114,0.048303949,100,6.3870000253,155
115,0.055913338,100,6.3870000253,155
116,0.056620239,100,6.3870000253,155
117,0.058560872,100,6.3870000253,155
118,0.058930798,100,6.3870000253,155
119,0.059536886,100,6.3870000253,155
120,0.057964709,100,6.3870000253,155
121,0.056998661,100,6.3870000253,155
122,0.053299195,100,6.3870000253,155
123,0.049270018,100,6.3870000253,155
124,0.038792659,100,6.3870000253,155
125,0.030163039,100,6.3870000253,155
126,0.024047123,100,6.3870000253,155
127,0.023219345,100,6.3870000253,155
128,0.021689751,100,6.3870000253,155
129,0.022640694,100,6.3870000253,155
130,0.024825891,100,6.3870000253,155
131,0.03214976,100,6.3870000253,155
132,0.048089483,100,6.3870000253,155
133,0.054226922,100,6.3870000253,155
134,0.05855163,100,6.3870000253,155
135,0.061633614,100,6.3870000253,155
136,0.063697248,100,6.3870000253,155
137,0.062851255,100,6.3870000253,155
138,0.060575829,100,6.3870000253,155
139,0.056598218,100,6.3870000253,155
140,0.048285009,100,6.3870000253,155
141,0.046215014,100,6.3870000253,155
142,0.043432093,100,6.3870000253,155
143,0.031384843,100,6.3870000253,155
144,0.032069582,100,6.3870000253,155
145,0.028290285,100,6.3870000253,155
146,0.024823362,100,6.3870000253,155
147,0.020226421,100,6.3870000253,155
148,0.017470298,100,6.3870000253,155
149,0.0146833,100,6.3870000253,155
150,0.012877166,100,6.3870000253,155
151,0.012859936,100,6.3870000253,155
152,0.011032592,100,6.3870000253,155
153,0.0099808106,100,6.3870000253,155
154,0.007088054,100,6.3870000253,155
155,0.0053159306,100,6.3870000253,155
156,0.0044299488,100,6.3870000253,155
157,0.0036470775,100,6.3870000253,155
158,0.0026579654,100,6.3870000253,155
159,0.0019491738,100,6.3870000253,155
160,0.0015064631,100,6.3870000253,155
161,0.0011517824,100,6.3870000253,155
162,0.00088599181,100,6.3870000253,155
163,0.00070879145,100,6.3870000253,155
164,0.00053159104,100,6.3870000253,155
165,0.00045969095,100,6.3870000253,155
166,0.00035439076,100,6.3870000253,155
167,0.00026580052,100,6.3870000253,155
168,0.00017720036,100,6.3870000253,155
169,0.00015062031,100,6.3870000253,155
170,0.00012404025,100,6.3870000253,155
171,8.8600183e-05,100,6.3870000253,155
172,7.0880145e-05,100,6.3870000253,155
