A,Fission Yield,Z,E,N
66,9.8500008e-07,91,6.049,140
67,1.7700005e-06,91,6.049,140
68,3.4500005e-06,91,6.049,140
69,6.8900003e-06,91,6.049,140
70,1.2800001e-05,91,6.049,140
71,2.462e-05,91,6.049,140
72,4.432e-05,91,6.049,140
73,8.9030005e-05,91,6.049,140
74,0.00016742,91,6.049,140
75,0.00031514003,91,6.049,140
76,0.00059123999,91,6.049,140
77,0.00098926,91,6.049,140
78,0.0019697201,91,6.049,140
79,0.0039696904,91,6.049,140
80,0.0068948297,91,6.049,140
81,0.0098929705,91,6.049,140
82,0.016912459,91,6.049,140
83,0.02301276,91,6.049,140
84,0.042304819,91,6.049,140
85,0.044842481,91,6.049,140
86,0.051496032,91,6.049,140
87,0.059638317,91,6.049,140
88,0.066335332,91,6.049,140
89,0.069852166,91,6.049,140
90,0.068499464,91,6.049,140
91,0.06448984,91,6.049,140
92,0.067736567,91,6.049,140
93,0.0671518,91,6.049,140
94,0.063595882,91,6.049,140
95,0.063562352,91,6.049,140
96,0.049669444,91,6.049,140
97,0.043533576,91,6.049,140
98,0.03178944,91,6.049,140
99,0.025340498,91,6.049,140
100,0.019785946,91,6.049,140
101,0.013849691,91,6.049,140
102,0.0064303203,91,6.049,140
103,0.0037068898,91,6.049,140
104,0.0019717295,91,6.049,140
105,0.0014630601,91,6.049,140
106,0.00103468,91,6.049,140
107,0.00095527007,91,6.049,140
108,0.00078790997,91,6.049,140
109,0.00079651005,91,6.049,140
110,0.00068937004,91,6.049,140
111,0.00095282004,91,6.049,140
112,0.00058511993,91,6.049,140
113,0.00080963996,91,6.049,140
114,0.00061059001,91,6.049,140
115,0.00083305008,91,6.049,140
116,0.00064667994,91,6.049,140
117,0.00065692008,91,6.049,140
118,0.00066719002,91,6.049,140
119,0.00068772007,91,6.049,140
120,0.00072878002,91,6.049,140
121,0.00079029002,91,6.049,140
122,0.00087209992,91,6.049,140
123,0.00098553002,91,6.049,140
124,0.0011636101,91,6.049,140
125,0.00145755,91,6.049,140
126,0.0019327099,91,6.049,140
127,0.0029150897,91,6.049,140
128,0.0052908106,91,6.049,140
129,0.01034453,91,6.049,140
130,0.020847771,91,6.049,140
131,0.026672571,91,6.049,140
132,0.035843083,91,6.049,140
133,0.050928152,91,6.049,140
134,0.063756403,91,6.049,140
135,0.066729208,91,6.049,140
136,0.074761117,91,6.049,140
137,0.070185637,91,6.049,140
138,0.07452637,91,6.049,140
139,0.07345277,91,6.049,140
140,0.067157639,91,6.049,140
141,0.068389272,91,6.049,140
142,0.062081056,91,6.049,140
143,0.053257879,91,6.049,140
144,0.046944769,91,6.049,140
145,0.032086854,91,6.049,140
146,0.02607171,91,6.049,140
147,0.020272862,91,6.049,140
148,0.015602329,91,6.049,140
149,0.0092175604,91,6.049,140
150,0.0055063896,91,6.049,140
151,0.0031640702,91,6.049,140
152,0.0017947001,91,6.049,140
153,0.00076967002,91,6.049,140
154,0.00041501003,91,6.049,140
155,0.00020748002,91,6.049,140
156,0.00010374001,91,6.049,140
157,5.187e-05,91,6.049,140
158,3.2160003e-05,91,6.049,140
159,1.556e-05,91,6.049,140
160,7.3699999e-06,91,6.049,140
161,3.7299999e-06,91,6.049,140
162,1.97e-06,91,6.049,140
163,1.04e-06,91,6.049,140
164,4.1499999e-07,91,6.049,140
165,2.0499997e-07,91,6.049,140
166,9.3399993e-08,91,6.049,140
167,3.6299999e-08,91,6.049,140
168,1.5600001e-08,91,6.049,140
169,6.2199995e-09,91,6.049,140
170,3.1099993e-09,91,6.049,140
171,1.5600008e-09,91,6.049,140
172,1.0399995e-09,91,6.049,140
