A,Fission Yield,Z,E,N
66,1.6000003e-09,94,5.241520025300001,146
67,3.1000009e-09,94,5.241520025300001,146
68,9.3899991e-09,94,5.241520025300001,146
69,2.9799999e-08,94,5.241520025300001,146
70,9.9900017e-08,94,5.241520025300001,146
71,1.8000001e-07,94,5.241520025300001,146
72,5.9900003e-07,94,5.241520025300001,146
73,1.5000002e-06,94,5.241520025300001,146
74,3.0000002e-06,94,5.241520025300001,146
75,8.9900009e-06,94,5.241520025300001,146
76,1.7980002e-05,94,5.241520025300001,146
77,5.8940003e-05,94,5.241520025300001,146
78,0.00016977001,94,5.241520025300001,146
79,0.00015980001,94,5.241520025300001,146
80,0.00038968002,94,5.241520025300001,146
81,0.00109853,94,5.241520025300001,146
82,0.0012004901,94,5.241520025300001,146
83,0.0024976598,94,5.241520025300001,146
84,0.0042177304,94,5.241520025300001,146
85,0.0046972005,94,5.241520025300001,146
86,0.0068413908,94,5.241520025300001,146
87,0.0083763709,94,5.241520025300001,146
88,0.01201259,94,5.241520025300001,146
89,0.013241001,94,5.241520025300001,146
90,0.018405622,94,5.241520025300001,146
91,0.022083924,94,5.241520025300001,146
92,0.02683834,94,5.241520025300001,146
93,0.034602918,94,5.241520025300001,146
94,0.038960987,94,5.241520025300001,146
95,0.046891125,94,5.241520025300001,146
96,0.047304953,94,5.241520025300001,146
97,0.051689537,94,5.241520025300001,146
98,0.059481291,94,5.241520025300001,146
99,0.05968915,94,5.241520025300001,146
100,0.066953682,94,5.241520025300001,146
101,0.059258603,94,5.241520025300001,146
102,0.061560052,94,5.241520025300001,146
103,0.059662474,94,5.241520025300001,146
104,0.061112215,94,5.241520025300001,146
105,0.056564189,94,5.241520025300001,146
106,0.052663212,94,5.241520025300001,146
107,0.041970682,94,5.241520025300001,146
108,0.032679517,94,5.241520025300001,146
109,0.021487445,94,5.241520025300001,146
110,0.014589811,94,5.241520025300001,146
111,0.0039944206,94,5.241520025300001,146
112,0.0019972104,94,5.241520025300001,146
113,0.0010989101,94,5.241520025300001,146
114,0.00099860008,94,5.241520025300001,146
115,0.00069931006,94,5.241520025300001,146
116,0.00049929998,94,5.241520025300001,146
117,0.00042970006,94,5.241520025300001,146
118,0.00041959005,94,5.241520025300001,146
119,0.00041959007,94,5.241520025300001,146
120,0.00030865003,94,5.241520025300001,146
121,0.00030809997,94,5.241520025300001,146
122,0.00033796002,94,5.241520025300001,146
123,0.0004174201,94,5.241520025300001,146
124,0.00060663008,94,5.241520025300001,146
125,0.00060735003,94,5.241520025300001,146
126,0.0013914801,94,5.241520025300001,146
127,0.0035843099,94,5.241520025300001,146
128,0.0069698503,94,5.241520025300001,146
129,0.013542071,94,5.241520025300001,146
130,0.021608031,94,5.241520025300001,146
131,0.033397114,94,5.241520025300001,146
132,0.048151513,94,5.241520025300001,146
133,0.067155208,94,5.241520025300001,146
134,0.07631008,94,5.241520025300001,146
135,0.0723427,94,5.241520025300001,146
136,0.070266041,94,5.241520025300001,146
137,0.065567749,94,5.241520025300001,146
138,0.064085507,94,5.241520025300001,146
139,0.059626532,94,5.241520025300001,146
140,0.057034787,94,5.241520025300001,146
141,0.054938172,94,5.241520025300001,146
142,0.047912167,94,5.241520025300001,146
143,0.044877408,94,5.241520025300001,146
144,0.039288641,94,5.241520025300001,146
145,0.030706097,94,5.241520025300001,146
146,0.025687822,94,5.241520025300001,146
147,0.021234519,94,5.241520025300001,146
148,0.017724836,94,5.241520025300001,146
149,0.013939181,94,5.241520025300001,146
150,0.01063766,94,5.241520025300001,146
151,0.0085471213,94,5.241520025300001,146
152,0.0065594205,94,5.241520025300001,146
153,0.0045717205,94,5.241520025300001,146
154,0.0032797499,94,5.241520025300001,146
155,0.0025840104,94,5.241520025300001,146
156,0.0013913901,94,5.241520025300001,146
157,0.00099385004,94,5.241520025300001,146
158,0.00072551002,94,5.241520025300001,146
159,0.00044723,94,5.241520025300001,146
160,0.00021868002,94,5.241520025300001,146
161,8.9450012e-05,94,5.241520025300001,146
162,1.193e-05,94,5.241520025300001,146
163,9.1400009e-06,94,5.241520025300001,146
164,3.1800006e-06,94,5.241520025300001,146
165,1.1000001e-06,94,5.241520025300001,146
166,6.4599999e-07,94,5.241520025300001,146
167,2.3900004e-07,94,5.241520025300001,146
168,9.2399999e-08,94,5.241520025300001,146
169,3.6800001e-08,94,5.241520025300001,146
170,9.9400012e-09,94,5.241520025300001,146
171,2.3899997e-09,94,5.241520025300001,146
172,7.6499977e-10,94,5.241520025300001,146
