A,Fission Yield,Z,E,N
66,2.9000005e-08,94,5.533600000000001,148
67,5.7900009e-08,94,5.533600000000001,148
68,8.690001e-08,94,5.533600000000001,148
69,1.1600001e-07,94,5.533600000000001,148
70,2.9000008e-07,94,5.533600000000001,148
71,5.7900008e-07,94,5.533600000000001,148
72,1.2500002e-06,94,5.533600000000001,148
73,2.4100004e-06,94,5.533600000000001,148
74,7.720001e-06,94,5.533600000000001,148
75,1.1580002e-05,94,5.533600000000001,148
76,2.4130007e-05,94,5.533600000000001,148
77,6.828001e-05,94,5.533600000000001,148
78,0.00013517002,94,5.533600000000001,148
79,0.00033796007,94,5.533600000000001,148
80,0.00055138012,94,5.533600000000001,148
81,0.00091706009,94,5.533600000000001,148
82,0.0012557802,94,5.533600000000001,148
83,0.0017870399,94,5.533600000000001,148
84,0.0034409799,94,5.533600000000001,148
85,0.003231571,94,5.533600000000001,148
86,0.0054105213,94,5.533600000000001,148
87,0.0063334008,94,5.533600000000001,148
88,0.0083491306,94,5.533600000000001,148
89,0.010988641,94,5.533600000000001,148
90,0.013600122,94,5.533600000000001,148
91,0.018013992,94,5.533600000000001,148
92,0.021511789,94,5.533600000000001,148
93,0.02805855,94,5.533600000000001,148
94,0.031268572,94,5.533600000000001,148
95,0.036247457,94,5.533600000000001,148
96,0.042811945,94,5.533600000000001,148
97,0.044559807,94,5.533600000000001,148
98,0.048334203,94,5.533600000000001,148
99,0.054378073,94,5.533600000000001,148
100,0.060841614,94,5.533600000000001,148
101,0.059901365,94,5.533600000000001,148
102,0.064203036,94,5.533600000000001,148
103,0.065444038,94,5.533600000000001,148
104,0.064855191,94,5.533600000000001,148
105,0.069660562,94,5.533600000000001,148
106,0.057588392,94,5.533600000000001,148
107,0.05027247,94,5.533600000000001,148
108,0.043973094,94,5.533600000000001,148
109,0.031940547,94,5.533600000000001,148
110,0.020776079,94,5.533600000000001,148
111,0.012222473,94,5.533600000000001,148
112,0.0065357607,94,5.533600000000001,148
113,0.0031805706,94,5.533600000000001,148
114,0.0013305002,94,5.533600000000001,148
115,0.0010915302,94,5.533600000000001,148
116,0.0009754901,94,5.533600000000001,148
117,0.00098267013,94,5.533600000000001,148
118,0.00087794007,94,5.533600000000001,148
119,0.00087794008,94,5.533600000000001,148
120,0.00082916011,94,5.533600000000001,148
121,0.00082044011,94,5.533600000000001,148
122,0.00083866007,94,5.533600000000001,148
123,0.00088422004,94,5.533600000000001,148
124,0.0010051901,94,5.533600000000001,148
125,0.0012889802,94,5.533600000000001,148
126,0.0016835103,94,5.533600000000001,148
127,0.0027726801,94,5.533600000000001,148
128,0.0051793602,94,5.533600000000001,148
129,0.012301591,94,5.533600000000001,148
130,0.020059937,94,5.533600000000001,148
131,0.031064665,94,5.533600000000001,148
132,0.044837641,94,5.533600000000001,148
133,0.066495742,94,5.533600000000001,148
134,0.07430163,94,5.533600000000001,148
135,0.069971963,94,5.533600000000001,148
136,0.068770022,94,5.533600000000001,148
137,0.063157475,94,5.533600000000001,148
138,0.061956044,94,5.533600000000001,148
139,0.060157241,94,5.533600000000001,148
140,0.054496944,94,5.533600000000001,148
141,0.050165683,94,5.533600000000001,148
142,0.046008785,94,5.533600000000001,148
143,0.045452994,94,5.533600000000001,148
144,0.042622997,94,5.533600000000001,148
145,0.033696446,94,5.533600000000001,148
146,0.029080899,94,5.533600000000001,148
147,0.023705482,94,5.533600000000001,148
148,0.020012891,94,5.533600000000001,148
149,0.015733722,94,5.533600000000001,148
150,0.013199052,94,5.533600000000001,148
151,0.0098796015,94,5.533600000000001,148
152,0.0079040005,94,5.533600000000001,148
153,0.0062332207,94,5.533600000000001,148
154,0.0043568908,94,5.533600000000001,148
155,0.0032816506,94,5.533600000000001,148
156,0.0023700799,94,5.533600000000001,148
157,0.0016408203,94,5.533600000000001,148
158,0.0010938801,94,5.533600000000001,148
159,0.00065633014,94,5.533600000000001,148
160,0.00041021004,94,5.533600000000001,148
161,0.00023700996,94,5.533600000000001,148
162,0.00012762002,94,5.533600000000001,148
163,5.4689999e-05,94,5.533600000000001,148
164,1.3670002e-05,94,5.533600000000001,148
165,9.3700017e-06,94,5.533600000000001,148
166,4.5600011e-06,94,5.533600000000001,148
167,1.8199999e-06,94,5.533600000000001,148
168,7.2900013e-07,94,5.533600000000001,148
169,4.3800003e-07,94,5.533600000000001,148
170,2.1000002e-07,94,5.533600000000001,148
171,1.1899999e-07,94,5.533600000000001,148
172,6.3800014e-08,94,5.533600000000001,148
