A,Fission Yield,Z,E,N
66,3.0200277e-10,90,6.7943000253,139
67,7.1800637e-10,90,6.7943000253,139
68,2.7100232e-09,90,6.7943000253,139
69,1.15001e-08,90,6.7943000253,139
70,3.6400319e-08,90,6.7943000253,139
71,1.5600135e-07,90,6.7943000253,139
72,7.1800622e-07,90,6.7943000253,139
73,2.600022e-06,90,6.7943000253,139
74,1.0410091e-05,90,6.7943000253,139
75,3.3830295e-05,90,6.7943000253,139
76,0.00011973105,90,6.7943000253,139
77,0.00042056365,90,6.7943000253,139
78,0.0025585321,90,6.7943000253,139
79,0.0042280367,90,6.7943000253,139
80,0.016365049,90,6.7943000253,139
81,0.022981396,90,6.7943000253,139
82,0.03456517,90,6.7943000253,139
83,0.051994738,90,6.7943000253,139
84,0.093518048,90,6.7943000253,139
85,0.092092362,90,6.7943000253,139
86,0.083060934,90,6.7943000253,139
87,0.072371713,90,6.7943000253,139
88,0.081896836,90,6.7943000253,139
89,0.09054576,90,6.7943000253,139
90,0.083731671,90,6.7943000253,139
91,0.065933864,90,6.7943000253,139
92,0.059650991,90,6.7943000253,139
93,0.048440958,90,6.7943000253,139
94,0.041113717,90,6.7943000253,139
95,0.026753897,90,6.7943000253,139
96,0.013802901,90,6.7943000253,139
97,0.0073104338,90,6.7943000253,139
98,0.0027135434,90,6.7943000253,139
99,0.001520723,90,6.7943000253,139
100,0.00036026312,90,6.7943000253,139
101,0.00013081114,90,6.7943000253,139
102,6.5520578e-05,90,6.7943000253,139
103,5.9970521e-05,90,6.7943000253,139
104,0.00010114089,90,6.7943000253,139
105,8.0900705e-05,90,6.7943000253,139
106,0.00012004101,90,6.7943000253,139
107,0.00010813095,90,6.7943000253,139
108,0.00011742103,90,6.7943000253,139
109,0.00012898113,90,6.7943000253,139
110,0.0001689515,90,6.7943000253,139
111,0.0002165019,90,6.7943000253,139
112,0.00020836183,90,6.7943000253,139
113,0.00017003148,90,6.7943000253,139
114,0.00021486193,90,6.7943000253,139
115,0.00019833178,90,6.7943000253,139
116,0.0001961817,90,6.7943000253,139
117,0.00022747197,90,6.7943000253,139
118,0.00016930148,90,6.7943000253,139
119,0.00015712138,90,6.7943000253,139
120,0.00014678127,90,6.7943000253,139
121,0.00013309118,90,6.7943000253,139
122,0.00013673119,90,6.7943000253,139
123,0.00012893112,90,6.7943000253,139
124,0.00011105098,90,6.7943000253,139
125,5.6440504e-05,90,6.7943000253,139
126,0.00019045162,90,6.7943000253,139
127,0.00038914339,90,6.7943000253,139
128,0.00051942459,90,6.7943000253,139
129,0.0011884403,90,6.7943000253,139
130,0.0041724764,90,6.7943000253,139
131,0.0060434121,90,6.7943000253,139
132,0.012040175,90,6.7943000253,139
133,0.029665635,90,6.7943000253,139
134,0.059681951,90,6.7943000253,139
135,0.058069818,90,6.7943000253,139
136,0.059745992,90,6.7943000253,139
137,0.071694432,90,6.7943000253,139
138,0.078888793,90,6.7943000253,139
139,0.084879824,90,6.7943000253,139
140,0.079409548,90,6.7943000253,139
141,0.074616596,90,6.7943000253,139
142,0.073004137,90,6.7943000253,139
143,0.083075071,90,6.7943000253,139
144,0.097581077,90,6.7943000253,139
145,0.050167112,90,6.7943000253,139
146,0.033794137,90,6.7943000253,139
147,0.021143546,90,6.7943000253,139
148,0.01021495,90,6.7943000253,139
149,0.0058823512,90,6.7943000253,139
150,0.0017845761,90,6.7943000253,139
151,0.00037998329,90,6.7943000253,139
152,9.7550859e-05,90,6.7943000253,139
153,2.0580181e-05,90,6.7943000253,139
154,4.8300424e-06,90,6.7943000253,139
155,9.840086e-07,90,6.7943000253,139
156,2.6000228e-07,90,6.7943000253,139
157,7.1600613e-08,90,6.7943000253,139
158,1.7900152e-08,90,6.7943000253,139
159,5.2800466e-09,90,6.7943000253,139
160,1.3400117e-09,90,6.7943000253,139
161,3.5800288e-10,90,6.7943000253,139
162,8.860078e-11,90,6.7943000253,139
163,2.6800211e-11,90,6.7943000253,139
164,8.9500809e-12,90,6.7943000253,139
165,2.6800196e-12,90,6.7943000253,139
166,7.1600663e-13,90,6.7943000253,139
167,1.7900164e-13,90,6.7943000253,139
168,6.2700558e-14,90,6.7943000253,139
169,1.7900134e-14,90,6.7943000253,139
170,1.6100148e-14,90,6.7943000253,139
171,1.3400115e-14,90,6.7943000253,139
172,1.16001e-14,90,6.7943000253,139
