A,Fission Yield,Z,E,N
66,1.1296047e-08,90,5.28639,142
67,3.8986357e-08,90,5.28639,142
68,1.4294999e-07,90,5.28639,142
69,3.2988453e-07,90,5.28639,142
70,6.5377129e-07,90,5.28639,142
71,1.659419e-06,90,5.28639,142
72,4.1385516e-06,90,5.28639,142
73,6.207829e-06,90,5.28639,142
74,1.1535965e-05,90,5.28639,142
75,2.8340083e-05,90,5.28639,142
76,6.7366436e-05,90,5.28639,142
77,0.00011760885,90,5.28639,142
78,0.00035267665,90,5.28639,142
79,0.00076846114,90,5.28639,142
80,0.0019414512,90,5.28639,142
81,0.0046967069,90,5.28639,142
82,0.010750499,90,5.28639,142
83,0.021685212,90,5.28639,142
84,0.04024689,90,5.28639,142
85,0.041659709,90,5.28639,142
86,0.065852972,90,5.28639,142
87,0.070711191,90,5.28639,142
88,0.072579332,90,5.28639,142
89,0.074652045,90,5.28639,142
90,0.079212865,90,5.28639,142
91,0.07361417,90,5.28639,142
92,0.069179788,90,5.28639,142
93,0.066949379,90,5.28639,142
94,0.055610501,90,5.28639,142
95,0.056506894,90,5.28639,142
96,0.047750941,90,5.28639,142
97,0.044239514,90,5.28639,142
98,0.03678756,90,5.28639,142
99,0.029430298,90,5.28639,142
100,0.013701587,90,5.28639,142
101,0.0071329251,90,5.28639,142
102,0.0036767636,90,5.28639,142
103,0.0015540655,90,5.28639,142
104,0.00090281408,90,5.28639,142
105,0.00051462996,90,5.28639,142
106,0.00048544016,90,5.28639,142
107,0.00051057136,90,5.28639,142
108,0.00061325541,90,5.28639,142
109,0.00066191834,90,5.28639,142
110,0.00070972171,90,5.28639,142
111,0.00071593963,90,5.28639,142
112,0.00078235631,90,5.28639,142
113,0.00078038707,90,5.28639,142
114,0.00073397328,90,5.28639,142
115,0.0007697607,90,5.28639,142
116,0.00073775199,90,5.28639,142
117,0.00073796177,90,5.28639,142
118,0.00063258869,90,5.28639,142
119,0.00057189991,90,5.28639,142
120,0.00054307997,90,5.28639,142
121,0.00048803928,90,5.28639,142
122,0.00036514222,90,5.28639,142
123,0.0002934373,90,5.28639,142
124,0.00026465739,90,5.28639,142
125,0.00032942476,90,5.28639,142
126,0.00048112166,90,5.28639,142
127,0.0010131957,90,5.28639,142
128,0.0018253513,90,5.28639,142
129,0.0025198787,90,5.28639,142
130,0.0094525132,90,5.28639,142
131,0.016203821,90,5.28639,142
132,0.029678175,90,5.28639,142
133,0.040448038,90,5.28639,142
134,0.053499229,90,5.28639,142
135,0.055268508,90,5.28639,142
136,0.056195026,90,5.28639,142
137,0.058374145,90,5.28639,142
138,0.064475661,90,5.28639,142
139,0.070941419,90,5.28639,142
140,0.078751232,90,5.28639,142
141,0.074612507,90,5.28639,142
142,0.065380933,90,5.28639,142
143,0.066448795,90,5.28639,142
144,0.079133303,90,5.28639,142
145,0.053367968,90,5.28639,142
146,0.045527397,90,5.28639,142
147,0.029776206,90,5.28639,142
148,0.020045448,90,5.28639,142
149,0.010832621,90,5.28639,142
150,0.0056178047,90,5.28639,142
151,0.0042896516,90,5.28639,142
152,0.00075518578,90,5.28639,142
153,0.00030998154,90,5.28639,142
154,6.8735943e-05,90,5.28639,142
155,3.6157352e-05,90,5.28639,142
156,2.689059e-05,90,5.28639,142
157,9.3167408e-06,90,5.28639,142
158,4.6383779e-06,90,5.28639,142
159,9.7665832e-07,90,5.28639,142
160,6.9175803e-07,90,5.28639,142
161,1.4494929e-07,90,5.28639,142
162,7.9772097e-08,90,5.28639,142
163,4.6383774e-08,90,5.28639,142
164,2.0392869e-08,90,5.28639,142
165,3.528765e-09,90,5.28639,142
166,1.3795167e-09,90,5.28639,142
167,9.7665906e-10,90,5.28639,142
168,5.2981498e-10,90,5.28639,142
169,2.6890605e-10,90,5.28639,142
170,1.069626e-10,90,5.28639,142
171,4.6383612e-11,90,5.28639,142
172,2.3891617e-11,90,5.28639,142
