A,Fission Yield,Z,E,N
66,4.4862547e-06,92,19.2975,142
67,1.0585916e-05,92,19.2975,142
68,1.361669e-05,92,19.2975,142
69,1.9537739e-05,92,19.2975,142
70,3.4036665e-05,92,19.2975,142
71,5.3270419e-05,92,19.2975,142
72,0.00010482167,92,19.2975,142
73,0.00014398562,92,19.2975,142
74,0.00022691438,92,19.2975,142
75,0.00034530854,92,19.2975,142
76,0.00055151145,92,19.2975,142
77,0.00083286111,92,19.2975,142
78,0.0013606393,92,19.2975,142
79,0.002072171,92,19.2975,142
80,0.0026025096,92,19.2975,142
81,0.0046005145,92,19.2975,142
82,0.0083335819,92,19.2975,142
83,0.011800725,92,19.2975,142
84,0.01421983,92,19.2975,142
85,0.024086451,92,19.2975,142
86,0.022304584,92,19.2975,142
87,0.031692722,92,19.2975,142
88,0.037767632,92,19.2975,142
89,0.043658109,92,19.2975,142
90,0.047804191,92,19.2975,142
91,0.0503588,92,19.2975,142
92,0.051902384,92,19.2975,142
93,0.050125589,92,19.2975,142
94,0.052546379,92,19.2975,142
95,0.050736564,92,19.2975,142
96,0.053258305,92,19.2975,142
97,0.050719301,92,19.2975,142
98,0.04870952,92,19.2975,142
99,0.042916927,92,19.2975,142
100,0.035110469,92,19.2975,142
101,0.031846281,92,19.2975,142
102,0.029847578,92,19.2975,142
103,0.023102874,92,19.2975,142
104,0.02085498,92,19.2975,142
105,0.021535769,92,19.2975,142
106,0.015390434,92,19.2975,142
107,0.012401196,92,19.2975,142
108,0.014280626,92,19.2975,142
109,0.012636726,92,19.2975,142
110,0.014313592,92,19.2975,142
111,0.013255606,92,19.2975,142
112,0.014096388,92,19.2975,142
113,0.012254508,92,19.2975,142
114,0.012388625,92,19.2975,142
115,0.01220281,92,19.2975,142
116,0.011553685,92,19.2975,142
117,0.011046448,92,19.2975,142
118,0.011966502,92,19.2975,142
119,0.011306046,92,19.2975,142
120,0.011566868,92,19.2975,142
121,0.013460424,92,19.2975,142
122,0.012264863,92,19.2975,142
123,0.012373552,92,19.2975,142
124,0.014380324,92,19.2975,142
125,0.016040911,92,19.2975,142
126,0.021466304,92,19.2975,142
127,0.022098153,92,19.2975,142
128,0.025229736,92,19.2975,142
129,0.02789565,92,19.2975,142
130,0.034973495,92,19.2975,142
131,0.037286381,92,19.2975,142
132,0.052812389,92,19.2975,142
133,0.050380432,92,19.2975,142
134,0.055705745,92,19.2975,142
135,0.054892778,92,19.2975,142
137,0.051048455,92,19.2975,142
138,0.052998129,92,19.2975,142
139,0.05314546,92,19.2975,142
140,0.039524027,92,19.2975,142
141,0.037010229,92,19.2975,142
142,0.043467378,92,19.2975,142
143,0.033058156,92,19.2975,142
144,0.027104206,92,19.2975,142
145,0.023542709,92,19.2975,142
146,0.019247137,92,19.2975,142
147,0.012893897,92,19.2975,142
148,0.010532894,92,19.2975,142
149,0.0062621692,92,19.2975,142
150,0.0048590973,92,19.2975,142
151,0.0033523881,92,19.2975,142
152,0.0023846435,92,19.2975,142
153,0.0018204803,92,19.2975,142
154,0.0008968112,92,19.2975,142
155,0.00064596556,92,19.2975,142
156,0.0004737662,92,19.2975,142
157,0.0003279515,92,19.2975,142
158,0.00019877126,92,19.2975,142
159,0.00011701329,92,19.2975,142
160,7.0584971e-05,92,19.2975,142
161,4.5760302e-05,92,19.2975,142
162,2.7832734e-05,92,19.2975,142
163,1.6896263e-05,92,19.2975,142
164,9.9518641e-06,92,19.2975,142
165,5.8636293e-06,92,19.2975,142
166,2.5913496e-06,92,19.2975,142
167,2.0846324e-06,92,19.2975,142
168,1.1101079e-06,92,19.2975,142
169,7.9510708e-07,92,19.2975,142
170,3.9185828e-07,92,19.2975,142
171,2.0864975e-07,92,19.2975,142
172,1.6895452e-07,92,19.2975,142
