A,Fission Yield,Z,E,N
66,7.2209712e-10,92,6.5455000253,143
67,3.6104877e-09,92,6.5455000253,143
68,7.1609675e-09,92,6.5455000253,143
69,1.5702121e-08,92,6.5455000253,143
70,3.6204887e-08,92,6.5455000253,143
71,8.3811314e-08,92,6.5455000253,143
72,2.6503573e-07,92,6.5455000253,143
73,8.9099501e-07,92,6.5455000253,143
74,3.3904581e-06,92,6.5455000253,143
75,1.0671442e-05,92,6.5455000253,143
76,3.0974195e-05,92,6.5455000253,143
77,7.9620755e-05,92,6.5455000253,143
78,0.00020968835,92,6.5455000253,143
79,0.0004473805,92,6.5455000253,143
80,0.0012884945,92,6.5455000253,143
81,0.0020370758,92,6.5455000253,143
82,0.0032461279,92,6.5455000253,143
83,0.0053650732,92,6.5455000253,143
84,0.010022283,92,6.5455000253,143
85,0.013188912,92,6.5455000253,143
86,0.019653783,92,6.5455000253,143
87,0.025606434,92,6.5455000253,143
88,0.035754876,92,6.5455000253,143
89,0.047337143,92,6.5455000253,143
90,0.057831343,92,6.5455000253,143
91,0.05829033,92,6.5455000253,143
92,0.060224882,92,6.5455000253,143
93,0.063476014,92,6.5455000253,143
94,0.064735278,92,6.5455000253,143
95,0.065042055,92,6.5455000253,143
96,0.06341087,92,6.5455000253,143
97,0.059980334,92,6.5455000253,143
98,0.057910822,92,6.5455000253,143
99,0.06109991,92,6.5455000253,143
100,0.062936625,92,6.5455000253,143
101,0.051736191,92,6.5455000253,143
102,0.042993596,92,6.5455000253,143
103,0.030315578,92,6.5455000253,143
104,0.018810791,92,6.5455000253,143
105,0.0096435818,92,6.5455000253,143
106,0.0040163028,92,6.5455000253,143
107,0.0014622181,92,6.5455000253,143
108,0.00054136307,92,6.5455000253,143
109,0.00031227229,92,6.5455000253,143
110,0.00025448439,92,6.5455000253,143
111,0.00017434365,92,6.5455000253,143
112,0.00013044762,92,6.5455000253,143
113,0.00014206919,92,6.5455000253,143
114,0.000118346,92,6.5455000253,143
115,0.00012585703,92,6.5455000253,143
116,0.00013250791,92,6.5455000253,143
117,0.00012763726,92,6.5455000253,143
118,0.00011347535,92,6.5455000253,143
119,0.00012875741,92,6.5455000253,143
120,0.00012610703,92,6.5455000253,143
121,0.00013048762,92,6.5455000253,143
122,0.00015250055,92,6.5455000253,143
123,0.00015660117,92,6.5455000253,143
124,0.00026791625,92,6.5455000253,143
125,0.0002984666,92,6.5455000253,143
126,0.00058525906,92,6.5455000253,143
127,0.0015701222,92,6.5455000253,143
128,0.0034888727,92,6.5455000253,143
129,0.0054345928,92,6.5455000253,143
130,0.018108777,92,6.5455000253,143
131,0.028108085,92,6.5455000253,143
132,0.043139889,92,6.5455000253,143
133,0.0670082,92,6.5455000253,143
134,0.078737078,92,6.5455000253,143
135,0.065403376,92,6.5455000253,143
136,0.063195632,92,6.5455000253,143
137,0.061897801,92,6.5455000253,143
138,0.067689503,92,6.5455000253,143
139,0.064147184,92,6.5455000253,143
140,0.062210104,92,6.5455000253,143
141,0.058482042,92,6.5455000253,143
142,0.058500744,92,6.5455000253,143
143,0.059570026,92,6.5455000253,143
144,0.055007074,92,6.5455000253,143
145,0.039341794,92,6.5455000253,143
146,0.029975177,92,6.5455000253,143
147,0.022471887,92,6.5455000253,143
148,0.016738859,92,6.5455000253,143
149,0.010818511,92,6.5455000253,143
150,0.0065341336,92,6.5455000253,143
151,0.0049424719,92,6.5455000253,143
152,0.0026696808,92,6.5455000253,143
153,0.0012662903,92,6.5455000253,143
154,0.00074449059,92,6.5455000253,143
155,0.00032142341,92,6.5455000253,143
156,0.00014856007,92,6.5455000253,143
157,6.1518319e-05,92,6.5455000253,143
158,3.2864436e-05,92,6.5455000253,143
159,1.0091363e-05,92,6.5455000253,143
160,3.1904311e-06,92,6.5455000253,143
161,8.5311533e-07,92,6.5455000253,143
162,1.590215e-07,92,6.5455000253,143
163,6.1108259e-08,92,6.5455000253,143
164,1.880255e-08,92,6.5455000253,143
165,9.521287e-09,92,6.5455000253,143
166,3.6304905e-09,92,6.5455000253,143
167,2.4703339e-09,92,6.5455000253,143
168,5.7107719e-10,92,6.5455000253,143
169,2.3803204e-10,92,6.5455000253,143
170,5.0106744e-11,92,6.5455000253,143
171,2.3503131e-11,92,6.5455000253,143
172,7.6910425e-12,92,6.5455000253,143
