A,Fission Yield,Z,S
66,7.2209712e-10,92,5.2975023253
67,3.6104877e-09,92,5.2975023253
68,7.1609675e-09,92,5.2975023253
69,1.5702121e-08,92,5.2975023253
70,3.6204887e-08,92,5.2975023253
71,8.3811314e-08,92,5.2975023253
72,2.6503573e-07,92,5.2975023253
73,8.9099501e-07,92,5.2975023253
74,3.3904581e-06,92,5.2975023253
75,1.0671442e-05,92,5.2975023253
76,3.0974195e-05,92,5.2975023253
77,7.9620755e-05,92,5.2975023253
78,2.0968835e-04,92,5.2975023253
79,4.4738050e-04,92,5.2975023253
80,1.2884945e-03,92,5.2975023253
81,2.0370758e-03,92,5.2975023253
82,3.2461279e-03,92,5.2975023253
83,5.3650732e-03,92,5.2975023253
84,1.0022283e-02,92,5.2975023253
85,1.3188912e-02,92,5.2975023253
86,1.9653783e-02,92,5.2975023253
87,2.5606434e-02,92,5.2975023253
88,3.5754876e-02,92,5.2975023253
89,4.7337143e-02,92,5.2975023253
90,5.7831343e-02,92,5.2975023253
91,5.8290330e-02,92,5.2975023253
92,6.0224882e-02,92,5.2975023253
93,6.3476014e-02,92,5.2975023253
94,6.4735278e-02,92,5.2975023253
95,6.5042055e-02,92,5.2975023253
96,6.3410870e-02,92,5.2975023253
97,5.9980334e-02,92,5.2975023253
98,5.7910822e-02,92,5.2975023253
99,6.1099910e-02,92,5.2975023253
100,6.2936625e-02,92,5.2975023253
101,5.1736191e-02,92,5.2975023253
102,4.2993596e-02,92,5.2975023253
103,3.0315578e-02,92,5.2975023253
104,1.8810791e-02,92,5.2975023253
105,9.6435818e-03,92,5.2975023253
106,4.0163028e-03,92,5.2975023253
107,1.4622181e-03,92,5.2975023253
108,5.4136307e-04,92,5.2975023253
109,3.1227229e-04,92,5.2975023253
110,2.5448439e-04,92,5.2975023253
111,1.7434365e-04,92,5.2975023253
112,1.3044762e-04,92,5.2975023253
113,1.4206919e-04,92,5.2975023253
114,1.1834600e-04,92,5.2975023253
115,1.2585703e-04,92,5.2975023253
116,1.3250791e-04,92,5.2975023253
117,1.2763726e-04,92,5.2975023253
118,1.1347535e-04,92,5.2975023253
119,1.2875741e-04,92,5.2975023253
120,1.2610703e-04,92,5.2975023253
121,1.3048762e-04,92,5.2975023253
122,1.5250055e-04,92,5.2975023253
123,1.5660117e-04,92,5.2975023253
124,2.6791625e-04,92,5.2975023253
125,2.9846660e-04,92,5.2975023253
126,5.8525906e-04,92,5.2975023253
127,1.5701222e-03,92,5.2975023253
128,3.4888727e-03,92,5.2975023253
129,5.4345928e-03,92,5.2975023253
130,1.8108777e-02,92,5.2975023253
131,2.8108085e-02,92,5.2975023253
132,4.3139889e-02,92,5.2975023253
133,6.7008200e-02,92,5.2975023253
134,7.8737078e-02,92,5.2975023253
135,6.5403376e-02,92,5.2975023253
136,6.3195632e-02,92,5.2975023253
137,6.1897801e-02,92,5.2975023253
138,6.7689503e-02,92,5.2975023253
139,6.4147184e-02,92,5.2975023253
140,6.2210104e-02,92,5.2975023253
141,5.8482042e-02,92,5.2975023253
142,5.8500744e-02,92,5.2975023253
143,5.9570026e-02,92,5.2975023253
144,5.5007074e-02,92,5.2975023253
145,3.9341794e-02,92,5.2975023253
146,2.9975177e-02,92,5.2975023253
147,2.2471887e-02,92,5.2975023253
