A,Fission Yield,Z,E,N
66.0,-2.1506566491125607e-08,99,5.9760000253,155
66.01060106010601,-2.153717995683749e-08,99,5.9760000253,155
66.02120212021202,-2.1568514063302428e-08,99,5.9760000253,155
66.03180318031804,-2.1600575240335877e-08,99,5.9760000253,155
66.04240424042405,-2.1633369975812224e-08,99,5.9760000253,155
66.05300530053005,-2.1666904816193782e-08,99,5.9760000253,155
66.06360636063606,-2.170118636706497e-08,99,5.9760000253,155
66.07420742074207,-2.1736221293671198e-08,99,5.9760000253,155
66.08480848084808,-2.1772016321462768e-08,99,5.9760000253,155
66.0954095409541,-2.1808578236643934e-08,99,5.9760000253,155
66.1060106010601,-2.1845913886726785e-08,99,5.9760000253,155
66.11661166116612,-2.188403018109009e-08,99,5.9760000253,155
66.12721272127213,-2.1922934091543744e-08,99,5.9760000253,155
66.13781378137814,-2.196263265289787e-08,99,5.9760000253,155
66.14841484148415,-2.200313296353749e-08,99,5.9760000253,155
66.15901590159015,-2.2044442186002338e-08,99,5.9760000253,155
66.16961696169616,-2.208656754757202e-08,99,5.9760000253,155
66.18021802180218,-2.2129516340856512e-08,99,5.9760000253,155
66.19081908190819,-2.2173295924391948e-08,99,5.9760000253,155
66.2014201420142,-2.22179137232423e-08,99,5.9760000253,155
66.21202120212021,-2.226337722960624e-08,99,5.9760000253,155
66.22262226222622,-2.2309694003429307e-08,99,5.9760000253,155
66.23322332233224,-2.2356871673022523e-08,99,5.9760000253,155
66.24382438243825,-2.240491793568571e-08,99,5.9760000253,155
66.25442544254426,-2.2453840558337407e-08,99,5.9760000253,155
66.26502650265026,-2.2503647378149803e-08,99,5.9760000253,155
66.27562756275627,-2.2554346303190165e-08,99,5.9760000253,155
66.28622862286228,-2.2605945313067612e-08,99,5.9760000253,155
66.2968296829683,-2.2658452459586053e-08,99,5.9760000253,155
66.3074307430743,-2.271187586740327e-08,99,5.9760000253,155
66.31803180318032,-2.276622373469588e-08,99,5.9760000253,155
66.32863286328633,-2.282150433383012e-08,99,5.9760000253,155
66.33923392339234,-2.2877726012039624e-08,99,5.9760000253,155
66.34983498349835,-2.293489719210828e-08,99,5.9760000253,155
66.36043604360437,-2.29930263730604e-08,99,5.9760000253,155
66.37103710371036,-2.305212213085654e-08,99,5.9760000253,155
66.38163816381638,-2.3112193119096208e-08,99,5.9760000253,155
66.39223922392239,-2.3173248069726433e-08,99,5.9760000253,155
66.4028402840284,-2.3235295793757176e-08,99,5.9760000253,155
66.41344134413441,-2.3298345181983648e-08,99,5.9760000253,155
66.42404240424042,-2.3362405205714645e-08,99,5.9760000253,155
66.43464346434644,-2.3427484917507664e-08,99,5.9760000253,155
66.44524452445245,-2.3493593451911286e-08,99,5.9760000253,155
66.45584558455846,-2.3560740026213934e-08,99,5.9760000253,155
66.46644664466447,-2.3628933941199236e-08,99,5.9760000253,155
66.47704770477047,-2.3698184581909058e-08,99,5.9760000253,155
66.48764876487648,-2.3768501418413182e-08,99,5.9760000253,155
66.4982498249825,-2.3839894006585687e-08,99,5.9760000253,155
66.5088508850885,-2.391237198888889e-08,99,5.9760000253,155
66.51945194519452,-2.3985945095164558e-08,99,5.9760000253,155
66.53005300530053,-2.4060623143432104e-08,99,5.9760000253,155
66.54065406540654,-2.4136416040694082e-08,99,5.9760000253,155
66.55125512551255,-2.421333378374942e-08,99,5.9760000253,155
66.56185618561857,-2.429138646001379e-08,99,5.9760000253,155
66.57245724572458,-2.4370584248347433e-08,99,5.9760000253,155
66.58305830583058,-2.4450937419891022e-08,99,5.9760000253,155
66.59365936593659,-2.4532456338909037e-08,99,5.9760000253,155
66.6042604260426,-2.4615151463640455e-08,99,5.9760000253,155
66.61486148614861,-2.469903334715758e-08,99,5.9760000253,155
66.62546254625462,-2.4784112638233027e-08,99,5.9760000253,155
66.63606360636064,-2.4870400082214363e-08,99,5.9760000253,155
66.64666466646665,-2.4957906521906316e-08,99,5.9760000253,155
66.65726572657266,-2.504664289846222e-08,99,5.9760000253,155
66.66786678667867,-2.5136620252282702e-08,99,5.9760000253,155
66.67846784678468,-2.5227849723922592e-08,99,5.9760000253,155
66.68906890689068,-2.5320342555006852e-08,99,5.9760000253,155
66.6996699669967,-2.5414110089154705e-08,99,5.9760000253,155
66.7102710271027,-2.5509163772911486e-08,99,5.9760000253,155
66.72087208720872,-2.560551515668986e-08,99,5.9760000253,155
66.73147314731473,-2.5703175895719503e-08,99,5.9760000253,155
66.74207420742074,-2.580215775100562e-08,99,5.9760000253,155
66.75267526752675,-2.590247259029552e-08,99,5.9760000253,155
66.76327632763277,-2.6004132389055085e-08,99,5.9760000253,155
66.77387738773878,-2.6107149231453686e-08,99,5.9760000253,155
66.78447844784479,-2.6211535311357794e-08,99,5.9760000253,155
66.79507950795079,-2.6317302933334507e-08,99,5.9760000253,155
66.8056805680568,-2.6424464513663832e-08,99,5.9760000253,155
66.81628162816281,-2.6533032581360164e-08,99,5.9760000253,155
66.82688268826882,-2.6643019779202812e-08,99,5.9760000253,155
66.83748374837484,-2.6754438864777503e-08,99,5.9760000253,155
66.84808480848085,-2.6867302711525416e-08,99,5.9760000253,155
66.85868586858686,-2.698162430980317e-08,99,5.9760000253,155
66.86928692869287,-2.7097416767952067e-08,99,5.9760000253,155
66.87988798879888,-2.7214693313377597e-08,99,5.9760000253,155
66.8904890489049,-2.733346729363776e-08,99,5.9760000253,155
66.9010901090109,-2.7453752177542707e-08,99,5.9760000253,155
66.9116911691169,-2.7575561556263865e-08,99,5.9760000253,155
66.92229222922292,-2.769890914445293e-08,99,5.9760000253,155
66.93289328932893,-2.782380878137132e-08,99,5.9760000253,155
66.94349434943494,-2.7950274432030548e-08,99,5.9760000253,155
66.95409540954095,-2.8078320188342366e-08,99,5.9760000253,155
66.96469646964697,-2.8207960270279545e-08,99,5.9760000253,155
66.97529752975298,-2.8339209027047718e-08,99,5.9760000253,155
66.98589858985899,-2.847208093826773e-08,99,5.9760000253,155
66.996499649965,-2.860659061516828e-08,99,5.9760000253,155
67.007100710071,-2.874275280179068e-08,99,5.9760000253,155
67.01770177017701,-2.888058237620389e-08,99,5.9760000253,155
67.02830283028302,-2.9020094351730386e-08,99,5.9760000253,155
67.03890389038904,-2.9161303878183993e-08,99,5.9760000253,155
67.04950495049505,-2.9304226243118786e-08,99,5.9760000253,155
67.06010601060106,-2.94488768730896e-08,99,5.9760000253,155
67.07070707070707,-2.9595271334923264e-08,99,5.9760000253,155
