A,Fission Yield,noise,Z,N,E
66.0,-5.4689180254248035e-05,0.00417053193087091,94,148,5.533600000000001
66.01060106010601,0.00023222702541580428,0.003843583716897154,94,148,5.533600000000001
66.02120212021202,-5.400128293108257e-05,0.004000679833389566,94,148,5.533600000000001
66.03180318031804,0.00010346410161723031,0.004084743842690241,94,148,5.533600000000001
66.04240424042405,1.8881682482806405e-05,0.0040433247470098,94,148,5.533600000000001
66.05300530053005,0.0002602759012391957,0.004243814977671998,94,148,5.533600000000001
66.06360636063606,4.097511359033282e-05,0.003990156497052778,94,148,5.533600000000001
66.07420742074207,8.341519155406714e-05,0.004430687910970185,94,148,5.533600000000001
66.08480848084808,-0.00011853614058663437,0.004455821621217244,94,148,5.533600000000001
66.0954095409541,-0.00023729976468853093,0.004046416762392871,94,148,5.533600000000001
66.1060106010601,0.00033521328471462547,0.0042113556354291546,94,148,5.533600000000001
66.11661166116612,-5.696357913684111e-05,0.004236531307518539,94,148,5.533600000000001
66.12721272127213,-0.00020673905611119048,0.003993122784561974,94,148,5.533600000000001
66.13781378137814,-4.06435660759137e-06,0.003610881530181531,94,148,5.533600000000001
66.14841484148415,-0.0003101937398433857,0.004301149119501863,94,148,5.533600000000001
66.15901590159015,0.0003242788537794175,0.0038704237835868616,94,148,5.533600000000001
66.16961696169616,0.0006512355462334113,0.004076624617978256,94,148,5.533600000000001
66.18021802180218,4.002628757813882e-05,0.004059332323017765,94,148,5.533600000000001
66.19081908190819,-4.045968705109593e-05,0.0038701055081802175,94,148,5.533600000000001
66.2014201420142,-0.00022179224563211356,0.004068265772734068,94,148,5.533600000000001
66.21202120212021,0.00025961251905846797,0.004215677836429071,94,148,5.533600000000001
66.22262226222622,6.68534910721627e-05,0.0037575474080175364,94,148,5.533600000000001
66.23322332233224,0.0003151626883938916,0.004027536877012866,94,148,5.533600000000001
66.24382438243825,0.00017963134850149752,0.0042919585968738275,94,148,5.533600000000001
66.25442544254426,0.00019112824466032294,0.003728756137633417,94,148,5.533600000000001
66.26502650265026,-0.0001345578499858546,0.004073487249097612,94,148,5.533600000000001
66.27562756275627,-5.3851784625521114e-05,0.004074268896571173,94,148,5.533600000000001
66.28622862286228,0.000249716050285516,0.004234819657839658,94,148,5.533600000000001
66.2968296829683,0.0005032936118082447,0.0037092344555353617,94,148,5.533600000000001
66.3074307430743,0.00010830694794464866,0.003953711068290821,94,148,5.533600000000001
66.31803180318032,0.0003206363405764605,0.0037707805273576884,94,148,5.533600000000001
66.32863286328633,0.00032583258117358253,0.003904553373487945,94,148,5.533600000000001
66.33923392339234,-7.907754036572493e-05,0.003802390631908875,94,148,5.533600000000001
66.34983498349835,0.00021803159474373176,0.004012863115955778,94,148,5.533600000000001
66.36043604360437,0.00015109688683877546,0.003925304503897534,94,148,5.533600000000001
66.37103710371036,0.00022457923531180187,0.0035851881358926023,94,148,5.533600000000001
66.38163816381638,9.306799371597261e-05,0.004130096157058429,94,148,5.533600000000001
66.39223922392239,0.0001462340939478193,0.0038953638892325116,94,148,5.533600000000001
66.4028402840284,-7.473301197360644e-05,0.003924365389644194,94,148,5.533600000000001
66.41344134413441,0.00013555413627937352,0.0038158926442216474,94,148,5.533600000000001
66.42404240424042,0.0001080030932354504,0.0036844930503156527,94,148,5.533600000000001
66.43464346434644,0.0005616172746526893,0.004026711680777697,94,148,5.533600000000001
66.44524452445245,0.00011380879503518987,0.0037212062114673253,94,148,5.533600000000001
66.45584558455846,2.732656112146354e-05,0.004267859838724987,94,148,5.533600000000001
66.46644664466447,-0.0001216299635337097,0.004005677091836411,94,148,5.533600000000001
66.47704770477047,-0.00030578736006024574,0.0040633003937314,94,148,5.533600000000001
66.48764876487648,1.1603046241822446e-05,0.003700437765576366,94,148,5.533600000000001
66.4982498249825,0.00040811188658840654,0.0037629710055188457,94,148,5.533600000000001
66.5088508850885,-1.8252714631422964e-05,0.004006699501129491,94,148,5.533600000000001
66.51945194519452,-0.00025348902950782747,0.003577279277069198,94,148,5.533600000000001
